area,population,sex,income,age
Kowloon City - Oi Chun,Male,6320,15000,46.5
Kowloon City - Oi Chun,Female,7066,11250,49.5
Kowloon City - Oi Chun,Sub-Total,13386,13120,47.8
Wong Tai Sin - Lung Tsui,Male,7493,16000,43.3
Wong Tai Sin - Lung Tsui,Female,9045,11000,42.3
Wong Tai Sin - Lung Tsui,Sub-Total,16538,13500,42.7
Wong Tai Sin - Lung Ha,Male,5488,15000,46.1
Wong Tai Sin - Lung Ha,Female,6249,11640,50.5
Wong Tai Sin - Lung Ha,Sub-Total,11737,12800,49.2
Wong Tai Sin - Lung Sheung,Male,9353,14000,48.2
Wong Tai Sin - Lung Sheung,Female,10695,11000,48.1
Wong Tai Sin - Lung Sheung,Sub-Total,20048,12250,48.2
Wong Tai Sin - Fung Wong,Male,6961,18000,40.3
Wong Tai Sin - Fung Wong,Female,8132,15000,37.8
Wong Tai Sin - Fung Wong,Sub-Total,15093,16500,38.6
Wong Tai Sin - Fung Tak,Male,7028,14000,49.8
Wong Tai Sin - Fung Tak,Female,8330,12000,48.2
Wong Tai Sin - Fung Tak,Sub-Total,15358,13000,48.7
Wong Tai Sin - Lung Sing,Male,9028,20000,44.1
Wong Tai Sin - Lung Sing,Female,10527,17500,44.6
Wong Tai Sin - Lung Sing,Sub-Total,19555,20000,44.4
Wong Tai Sin - San Po Kong,Male,10564,15500,41.9
Wong Tai Sin - San Po Kong,Female,13448,12250,41.4
Wong Tai Sin - San Po Kong,Sub-Total,24012,14500,41.6
Wong Tai Sin - Tung Tau,Male,7508,15000,47.7
Wong Tai Sin - Tung Tau,Female,9340,12000,43.8
Wong Tai Sin - Tung Tau,Sub-Total,16848,14000,45.2
Wong Tai Sin - Tung Mei,Male,7779,15000,46.5
Wong Tai Sin - Tung Mei,Female,8597,11500,46.1
Wong Tai Sin - Tung Mei,Sub-Total,16376,14500,46.3
Wong Tai Sin - Lok Fu,Male,6715,14500,48.8
Wong Tai Sin - Lok Fu,Female,7637,10750,49.9
Wong Tai Sin - Lok Fu,Sub-Total,14352,13000,49.4
Wong Tai Sin - Wang Tau Hom,Male,8361,14000,49.4
Wong Tai Sin - Wang Tau Hom,Female,8928,11250,46.5
